Date,BTC-USD,ETH-USD,THETA-USD,ALGO-USD,WAVES-USD
2018-01-04,15599.2001953125,980.9219970703125,,,12.539600372314453
2018-01-05,17429.5,997.719970703125,,,12.057000160217285
2018-01-06,17527.0,1041.6800537109375,,,12.863800048828125
2018-01-07,16477.599609375,1153.1700439453125,,,12.946999549865723
2018-01-08,15170.099609375,1148.530029296875,,,13.629300117492676
2018-01-09,14595.400390625,1299.739990234375,,,12.98859977722168
2018-01-10,14973.2998046875,1255.8199462890625,,,12.743200302124023
2018-01-11,13405.7998046875,1154.9300537109375,,,10.712400436401367
2018-01-12,13980.599609375,1273.199951171875,,,11.340800285339355
2018-01-13,14360.2001953125,1396.4200439453125,,,11.82859992980957
2018-01-14,13772.0,1366.77001953125,,,11.09119987487793
2018-01-15,13819.7998046875,1291.9200439453125,,,10.76990032196045
2018-01-16,11490.5,1053.68994140625,,,8.390819549560547
2018-01-17,11188.599609375,1014.25,,,8.087340354919434
2018-01-18,11474.900390625,1036.280029296875,,,8.59811019897461
2018-01-19,11607.400390625,1039.0999755859375,,,8.781149864196777
2018-01-20,12899.2001953125,1155.1500244140625,,,9.600529670715332
2018-01-21,11600.099609375,1049.5799560546875,,,8.267660140991211
2018-01-22,10931.400390625,1003.260009765625,,,8.3018798828125
2018-01-23,10868.400390625,986.22900390625,,,8.203439712524414
2018-01-24,11359.400390625,1058.780029296875,,,8.812820434570312
2018-01-25,11259.400390625,1056.030029296875,,,9.064579963684082
2018-01-26,11171.400390625,1055.1700439453125,,,8.956089973449707
2018-01-27,11440.7001953125,1107.0699462890625,,,9.111499786376953
2018-01-28,11786.2998046875,1246.010009765625,,,9.196240425109863
2018-01-29,11296.400390625,1182.3599853515625,,,8.712820053100586
2018-01-30,10106.2998046875,1071.1300048828125,,,7.6090497970581055
2018-01-31,10221.099609375,1118.31005859375,,,7.678890228271484
2018-02-01,9170.5400390625,1036.7900390625,,,6.665329933166504
2018-02-02,8830.75,915.7849731445312,,,6.202020168304443
2018-02-03,9174.91015625,964.0189819335938,,,6.625820159912109
2018-02-04,8277.009765625,834.6820068359375,,,5.741409778594971
2018-02-05,6955.27001953125,697.9509887695312,,,4.535459995269775
2018-02-06,7754.0,793.1220092773438,,,5.0586700439453125
2018-02-07,7621.2998046875,757.0679931640625,,,4.971529960632324
2018-02-08,8265.58984375,817.8070068359375,,,5.576620101928711
2018-02-09,8736.98046875,883.864990234375,,,6.0425801277160645
2018-02-10,8621.900390625,860.4149780273438,,,5.723979949951172
2018-02-11,8129.97021484375,814.6599731445312,,,5.45074987411499
2018-02-12,8926.5703125,868.7069702148438,,,5.72353982925415
2018-02-13,8598.3095703125,845.2579956054688,,,5.604340076446533
2018-02-14,9494.6298828125,923.5609741210938,,,6.423870086669922
2018-02-15,10166.400390625,936.9760131835938,,,8.071929931640625
2018-02-16,10233.900390625,944.2100219726562,,,7.900430202484131
2018-02-17,11112.7001953125,974.114990234375,,,7.841859817504883
2018-02-18,10551.7998046875,923.9210205078125,,,7.539070129394531
2018-02-19,11225.2998046875,943.864990234375,,,8.102330207824707
2018-02-20,11403.7001953125,895.3709716796875,,,8.025790214538574
2018-02-21,10690.400390625,849.9710083007812,,,7.272329807281494
2018-02-22,10005.0,812.844970703125,,,6.580210208892822
2018-02-23,10301.099609375,864.1890258789062,,,6.754310131072998
2018-02-24,9813.0703125,840.5150146484375,,,6.564919948577881
2018-02-25,9664.73046875,844.8099975585938,,,6.486070156097412
2018-02-26,10366.7001953125,869.3150024414062,,,6.701819896697998
2018-02-27,10725.599609375,878.2650146484375,,,6.58896017074585
2018-02-28,10397.900390625,855.198974609375,,,6.288020133972168
2018-03-01,10951.0,872.2000122070312,,,6.638599872589111
2018-03-02,11086.400390625,856.85302734375,,,6.6775898933410645
2018-03-03,11489.7001953125,857.2249755859375,,,6.90369987487793
2018-03-04,11512.599609375,866.677978515625,,,6.864580154418945
2018-03-05,11573.2998046875,853.6840209960938,,,6.748350143432617
2018-03-06,10779.900390625,816.9509887695312,,,6.184800148010254
2018-03-07,9965.5703125,752.8309936523438,,,6.205639839172363
2018-03-08,9395.009765625,704.5960083007812,,,5.871689796447754
2018-03-09,9337.5498046875,728.916015625,,,5.880519866943359
2018-03-10,8866.0,686.8900146484375,,,5.5492401123046875
2018-03-11,9578.6298828125,723.3389892578125,,,5.896160125732422
2018-03-12,9205.1201171875,699.8309936523438,,,5.583409786224365
2018-03-13,9194.849609375,690.8270263671875,,,5.556190013885498
2018-03-14,8269.8095703125,614.291015625,,,4.980979919433594
2018-03-15,8300.8603515625,611.3040161132812,,,5.218319892883301
2018-03-16,8338.349609375,601.666015625,,,5.0067901611328125
2018-03-17,7916.8798828125,552.7789916992188,,,4.60821008682251
2018-03-18,8223.6796875,538.6439819335938,,,4.408140182495117
2018-03-19,8630.650390625,556.7260131835938,,,4.7989301681518555
2018-03-20,8913.4697265625,557.1749877929688,,,5.024909973144531
2018-03-21,8929.2802734375,561.7319946289062,,,5.0032501220703125
2018-03-22,8728.4697265625,539.7020263671875,,,4.814189910888672
2018-03-23,8879.6201171875,539.6190185546875,,,4.70074987411499
2018-03-24,8668.1201171875,526.4390258789062,,,4.766719818115234
2018-03-25,8495.7802734375,524.2869873046875,,,4.736299991607666
2018-03-26,8209.400390625,489.95098876953125,,,4.387129783630371
2018-03-27,7833.0400390625,450.1159973144531,,,4.11352014541626
2018-03-28,7954.47998046875,446.27899169921875,,,4.250800132751465
2018-03-29,7165.7001953125,385.9679870605469,,,3.6872100830078125
2018-03-30,6890.52001953125,394.6449890136719,,,3.5820701122283936
2018-03-31,6973.52978515625,396.4570007324219,,,3.62896990776062
2018-04-01,6844.22998046875,379.60699462890625,,,3.491029977798462
2018-04-02,7083.7998046875,386.42498779296875,,,3.7577900886535645
2018-04-03,7456.10986328125,416.89300537109375,,,4.047369956970215
2018-04-04,6853.83984375,380.5429992675781,,,3.607990026473999
2018-04-05,6811.47021484375,383.23199462890625,,,3.5559399127960205
2018-04-06,6636.31982421875,370.2850036621094,,,3.390749931335449
2018-04-07,6911.08984375,385.3139953613281,,,3.5471699237823486
2018-04-08,7023.52001953125,400.50799560546875,,,3.6388399600982666
2018-04-09,6770.72998046875,398.5260009765625,,,3.4731500148773193
2018-04-10,6834.759765625,414.2430114746094,,,3.6144299507141113
2018-04-11,6968.31982421875,430.5400085449219,,,3.812469959259033
2018-04-12,7889.25,492.9410095214844,,,4.172399997711182
2018-04-13,7895.9599609375,492.7349853515625,,,4.308169841766357
2018-04-14,7986.240234375,501.4779968261719,,,4.656610012054443
2018-04-15,8329.1103515625,531.7020263671875,,,4.911379814147949
2018-04-16,8058.669921875,511.1470031738281,,,4.822050094604492
2018-04-17,7902.08984375,502.8940124511719,,,4.705629825592041
2018-04-18,8163.419921875,524.7890014648438,,,4.9523701667785645
