data,a,b,c,d,e,f
30.11.19,2,21,47,52,66,77
03.12.19,4,5,8,22,48,83
05.12.19,16,25,52,59,64,74
07.12.19,11,21,44,67,77,80
10.12.19,4,5,8,22,48,83
12.12.19,16,25,52,59,64,74
14.12.19,8,10,43,52,60,83
17.12.19,4,8,37,44,86,88
19.12.19,3,14,25,43,74,80
21.12.19,9,28,36,50,66,90
23.12.19,17,30,45,56,87,89
24.12.19,44,48,55,67,82,90
28.12.19,3,8,16,28,42,65
31.12.19,17,30,45,56,87,89
02.01.20,5,45,63,64,78,85
04.01.20,23,30,37,44,57,80
07.01.20,2,23,60,66,72,78
09.01.20,5,14,54,55,66,78
11.01.20,34,36,38,63,72,81
14.01.20,1,6,9,32,68,85
16.01.20,22,29,50,53,72,83
18.01.20,26,28,32,50,79,87
21.01.20,6,32,46,53,70,75
23.01.20,15,20,23,69,72,81
25.01.20,11,16,17,35,68,90
28.01.20,16,21,33,50,57,89
30.01.20,8,46,53,62,77,84
01.02.20,22,25,45,46,48,88
04.02.20,21,29,34,64,72,79
06.02.20,3,20,29,49,65,82
13.02.20,4,15,43,69,74,84
11.02.20,16,24,45,68,72,81
08.02.20,15,32,54,56,61,85
15.02.20,13,26,40,55,65,86
18.02.20,26,45,58,69,72,82
20.02.20,20,36,55,69,80,85
22.02.20,1,28,57,58,60,68
25.02.20,10,15,23,54,73,74
27.02.20,17,51,60,71,75,79
29.02.20,9,35,44,50,73,78
03.03.20,5,11,19,26,36,64
05.03.20,13,40,48,67,69,85
07.03.20,11,13,31,41,85,87
10.03.20,8,35,41,43,57,80
12.03.20,19,22,41,46,56,86
14.03.20,1,13,18,47,68,75
19.03.20,7,11,17,28,29,50
17.03.20,17,29,30,49,63,65
21.03.20,5,13,38,39,52,59
05.05.20,39,43,58,73,83,86
07.05.20,22,35,45,52,57,75
09.05.20,34,45,59,66,70,78
12.05.20,21,38,55,60,65,85
14.05.20,12,17,20,54,61,80
16.05.20,2,7,71,78,84,87
19.05.20,26,41,51,62,66,85
21.05.20,3,21,44,69,73,81
23.05.20,5,15,61,75,82,86
26.05.20,10,23,27,46,68,74
28.05.20,16,29,31,73,76,82
01.06.20,9,28,49,65,76,81
30.05.20,3,27,46,52,70,74
06.06.20,4,21,37,45,50,79
04.06.20,5,16,23,30,40,71
09.06.20,8,14,30,58,71,87
11.06.20,1,7,23,47,68,69
13.06.20,4,21,37,45,50,79
16.06.20,1,11,39,59,68,74
18.06.20,4,6,15,35,67,73
20.06.20,16,29,39,55,63,86
23.06.20,40,44,52,59,66,69
09.07.20,1,10,26,40,64,88
07.07.20,16,24,29,53,73,88
04.07.20,33,38,46,59,65,73
02.07.20,12,33,42,56,78,79
30.06.20,6,7,57,61,79,89
11.07.20,33,38,46,59,65,73
14.07.20,17,35,70,71,74,82
16.07.20,35,39,40,64,67,75
18.07.20,6,10,19,20,40,67
21.07.20,4,34,46,54,55,62
23.07.20,35,39,40,64,67,75
25.07.20,18,30,42,70,78,80
28.07.20,23,45,49,71,80,82
30.07.20,10,29,37,49,56,57
01.08.20,4,14,17,18,26,45
04.08.20,5,19,21,25,45,82
06.08.20,21,37,40,46,69,80
08.08.20,6,16,22,55,58,83
11.08.20,7,9,38,68,78,80
13.08.20,4,5,49,57,66,75
17.08.20,5,9,26,62,77,79
18.08.20,13,22,28,58,65,77
20.08.20,7,17,30,39,41,67
22.08.20,7,12,45,47,73,87
25.08.20,15,24,31,70,83,84
27.08.20,7,17,30,39,41,67
29.08.20,1,3,35,42,55,61
01.09.20,15,24,31,70,83,84
03.09.20,37,49,52,53,75,87
05.09.20,7,14,27,56,72,83
08.09.20,23,27,28,31,69,89
10.09.20,46,48,67,78,80,87
12.09.20,6,15,36,42,67,78
15.09.20,2,9,44,47,52,54
17.09.20,9,29,35,47,53,85
19.09.20,6,12,14,27,39,73
22.09.20,4,15,37,48,55,69
24.09.20,10,13,28,77,86,89
26.09.20,4,16,38,70,86,88
29.09.20,25,33,53,76,81,90
01.10.20,7,31,38,52,61,75
03.10.20,5,17,59,61,70,79
06.10.20,8,55,67,73,74,89
08.10.20,8,35,51,60,63,75
10.10.20,12,15,19,24,46,73
13.10.20,47,56,58,60,79,85
15.10.20,29,38,47,61,68,86
17.10.20,24,28,34,55,62,87
20.10.20,24,29,36,43,50,51
22.10.20,1,16,21,36,37,43
24.10.20,17,19,28,41,49,86
27.10.20,19,26,49,53,55,77
29.10.20,9,32,41,43,44,84
31.10.20,22,31,35,40,65,82
03.11.20,18,39,45,48,53,64
05.11.20,5,10,18,24,69,85
07.11.20,1,2,61,69,70,82
10.11.20,13,34,38,41,76,88
12.11.20,13,35,37,58,60,88
14.11.20,3,30,47,67,68,89
17.11.20,13,34,38,41,76,88
19.11.20,6,13,47,49,69,86
21.11.20,6,24,37,55,76,82
24.11.20,9,15,16,23,57,76
26.11.20,2,9,39,52,67,76
28.11.20,12,29,61,81,87,90
01.12.20,21,30,32,62,78,80
03.12.20,22,33,43,48,87,89
07.12.20,1,6,20,25,70,90
05.12.20,26,32,39,40,57,65
10.12.20,1,6,25,42,75,80
12.12.20,11,14,18,59,64,85
15.12.20,10,16,47,51,80,85
17.12.20,5,9,12,14,26,37
19.12.20,36,39,45,50,62,66
22.12.20,15,16,22,46,51,72
24.12.20,22,25,31,79,87,90
28.12.20,8,25,39,54,59,84
29.12.20,15,22,38,51,60,74
31.12.20,7,14,20,66,68,79
02.01.21,35,37,50,75,77,81
05.01.21,12,19,30,60,71,78
07.01.21,15,33,48,49,56,88
09.01.21,14,16,35,47,58,64
12.01.21,5,19,21,33,61,90
14.01.21,24,50,53,54,62,88
16.01.21,9,26,57,66,81,83
19.01.21,2,27,28,38,43,65
21.01.21,15,17,38,40,45,65
23.01.21,3,19,27,35,63,89
26.01.21,34,39,45,51,60,89
28.01.21,18,29,40,44,46,53
30.01.21,27,35,42,48,56,65
02.02.21,28,41,54,67,78,86
04.02.21,5,19,27,35,40,82
06.02.21,36,49,50,61,66,76
09.02.21,7,8,19,33,40,48
11.02.21,5,34,47,60,69,70
13.02.21,36,49,50,61,66,76
16.02.21,9,19,30,52,61,76
18.02.21,28,52,56,62,66,72
20.02.21,36,39,46,58,63,77
23.02.21,9,19,30,52,61,76
25.02.21,13,26,42,71,72,73
27.02.21,10,37,42,69,72,86
02.03.21,7,37,42,57,59,87
04.03.21,13,26,42,71,72,73
06.03.21,4,36,43,61,72,89
09.03.21,8,15,20,52,54,72
11.03.21,2,4,13,45,51,77
13.03.21,4,36,43,61,72,89
16.03.21,28,43,48,65,84,89
18.03.21,9,31,51,68,84,90
20.03.21,28,29,43,59,70,79
23.03.21,28,43,48,65,84,89
25.03.21,11,38,51,58,62,63
27.03.21,16,19,41,72,78,82
30.03.21,2,11,13,45,66,72
01.04.21,15,28,30,52,75,86
03.04.21,16,19,41,72,78,82
06.04.21,10,25,41,58,78,87
08.04.21,22,37,57,62,83,90
10.04.21,9,27,67,80,87,89
13.04.21,7,27,73,77,78,89
15.04.21,19,29,35,49,66,81
17.04.21,9,27,67,80,87,89
20.04.21,1,32,48,58,68,75
22.04.21,12,33,44,71,72,80
24.04.21,10,20,21,29,34,44
27.04.21,41,49,56,58,60,68
29.04.21,14,62,64,66,76,87
03.05.21,15,18,40,43,57,72
04.05.21,6,43,48,60,75,85
06.05.21,14,62,64,66,76,87
08.05.21,37,38,44,45,60,65
11.05.21,6,43,48,60,75,85
13.05.21,5,28,38,55,79,89
15.05.21,15,36,49,59,60,62
18.05.21,23,30,50,59,60,83
20.05.21,4,13,20,51,69,82
22.05.21,15,36,49,59,60,62
25.05.21,10,11,15,19,47,78
27.05.21,27,31,36,39,46,67
29.05.21,1,7,37,43,63,81
01.06.21,9,21,27,41,45,53
03.06.21,17,27,40,72,86,87
05.06.21,53,73,75,83,84,85
08.06.21,2,9,11,72,76,86
10.06.21,27,37,42,44,76,83
12.06.21,2,9,27,54,69,78
15.06.21,10,14,25,43,54,65
19.06.21,1,3,41,55,84,85
17.06.21,20,33,39,42,43,78
22.06.21,30,51,56,59,65,68
24.06.21,20,33,39,42,43,78
